İş Emri No;Operasyon Kodu;Tesis Kodu;Tesis Adı;Üretim Tarihi;Gün Adı;Hat Kodu;Hat Tanımı;Operasyon Tanımı;Fire Miktar (Bobin);Üretim Miktarı (Bobin);Setup Süresi (Saat);Arıza Duruşu (Saat);Plansız Duruş (Saat);Operasyon Süresi (Saat);Operasyon Hızı (m/dk);Operatör Adı Soyadı;Operatör Sicil No;Üretim Yılı;Üretim Ayı;İzolasyon Cinsi;Ürün Kodu;Ürün Açıklaması;Malzeme Kodu;Malzeme Açıklaması;Kaliteli Bobin Adedi;Kaliteli Toplam Metraj;Kaliteli Toplam m²;Fire Bobin Adedi;Fire Toplam Metraj;Fire Toplam m²;Günlük İş Emri Sayısı;Parti Sayısı;Hat Başına İş Emri;Hat Günlük İş Emri;Ortalama Çekim Miktarı;Ortalama Setup Süresi (Saat);Hat Nominal Hızı (m/dk);Kullanım Oranı (%);Performans Oranı (%);Kalite Oranı (%);OEE Değeri (%)
WO-202506-10010;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;İLETKEN TEL ÇEKİM;1.8;40.6;0.667;0.0;0.0;3.042;32.8;HASAN AYDIN;OPR-2003;2025;6;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;CU-ETP;Elektrolitik Bakır;40;5993;89.89;2;307;4.6;1;1;1;1;40.6;0.7;45;49.07;68.17;94.35;31.56
WO-202506-10011;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;ÇELİK ZIRH SARMAL;3.1;39.0;0.587;0.0;0.0;1.48;64.6;ALİ KAYA;OPR-1005;2025;6;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;AL-1350;Alüminyum Alaşım;39;5733;143.33;3;567;14.18;1;1;1;1;39.0;0.6;80;29.49;82.34;92.77;22.53
WO-202506-10012;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DIŞ KILIF SIVAMA;1.1;21.2;1.706;0.0;0.0;1.095;18.7;İBRAHİM ÖZTÜRK;OPR-2004;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;Alüminyum Alaşım;21;1229;116.75;1;91;8.64;1;1;1;1;21.2;1.7;30;38.84;56.14;95.75;20.88
WO-202506-10013;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;ÇELİK ZIRH SARMAL;3.4;32.6;0.834;0.0;0.0;1.118;56.0;İBRAHİM ÖZTÜRK;OPR-2004;2025;6;PVC;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;AL-1350;Alüminyum Alaşım;38;3758;56.37;3;342;5.13;1;1;1;1;32.6;0.8;50;22.39;100.0;86.86;19.45
WO-202506-10014;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;ÇELİK ZIRH SARMAL;2.2;36.0;0.82;0.0;0.0;1.802;37.3;HASAN AYDIN;OPR-2003;2025;6;XLPE;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;CU-ETP;Elektrolitik Bakır;41;4038;60.57;2;262;3.93;1;1;1;1;36.0;0.8;50;33.43;74.16;90.54;22.44
WO-202506-10015;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;DIŞ KILIF SIVAMA;2.0;29.4;0.704;0.0;0.0;1.155;69.8;ALİ KAYA;OPR-1005;2025;6;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;33;4840;121.0;2;410;10.25;1;1;1;1;29.4;0.7;80;19.87;88.67;95.78;16.88
WO-202506-10016;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;İZOLASYON EKSTRÜZYON;3.2;47.9;0.51;0.0;0.0;1.507;94.5;MUSTAFA ŞAHİN;OPR-1003;2025;6;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;AL-1350;Alüminyum Alaşım;43;8546;68.37;3;654;5.23;1;1;1;1;47.9;0.5;120;21.75;81.76;93.15;16.56
WO-202506-10017;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;İZOLASYON EKSTRÜZYON;0.9;14.0;0.613;0.0;0.0;0.375;67.6;SÜLEYMAN KOÇ;OPR-2005;2025;6;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;AL-1350;Alüminyum Alaşım;16;1520;38.0;1;180;4.5;1;1;1;1;14.0;0.6;90;11.95;79.12;86.06;8.14
WO-202506-10018;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;İLETKEN TEL ÇEKİM;2.6;45.3;0.679;0.0;0.0;1.485;72.1;MEHMET DEMİR;OPR-1002;2025;6;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;CU-ETP;Elektrolitik Bakır;43;6422;160.55;3;478;11.95;1;1;1;1;45.3;0.7;80;24.0;77.56;92.98;17.31
WO-202506-10019;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İZOLASYON EKSTRÜZYON;2.3;21.3;0.476;0.0;0.0;1.131;30.4;MEHMET DEMİR;OPR-1002;2025;6;XLPE;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;AL-1350;Alüminyum Alaşım;21;2065;30.97;2;235;3.52;1;1;1;1;21.3;0.5;40;19.27;77.91;88.47;13.28
WO-202506-10020;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;İZOLASYON EKSTRÜZYON;1.8;18.3;0.688;0.0;0.0;0.52;60.6;SÜLEYMAN KOÇ;OPR-2005;2025;6;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;AL-1350;Alüminyum Alaşım;19;1893;47.33;2;207;5.18;1;1;1;1;18.3;0.7;80;16.71;82.66;87.77;12.12
WO-202506-10021;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2004;Kombine Extruder Hattı Theta;İLETKEN TEL ÇEKİM;0.0;12.2;0.959;0.0;0.0;0.396;112.8;MEHMET DEMİR;OPR-1002;2025;6;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;CU-ETP;Elektrolitik Bakır;11;2683;53.66;0;67;1.34;1;1;1;1;12.2;1.0;110;19.1;95.3;95.44;17.37
WO-202506-10022;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;DIŞ KILIF SIVAMA;0.9;28.1;0.352;0.0;0.557;0.785;130.4;AHMET YILMAZ;OPR-1001;2025;6;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;AL-1350;Alüminyum Alaşım;25;6142;49.14;1;358;2.86;1;1;1;1;28.1;0.4;120;14.23;93.89;91.45;12.21
WO-202506-10023;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;DIŞ KILIF SIVAMA;1.0;62.5;0.496;0.0;0.0;28.954;25.9;ALİ KAYA;OPR-1005;2025;6;LSZH;KBL-702;Fiber Optik MM 24C Data Center;FO-SM-9;Fiber Optik Single Mode;57;44931;673.97;1;1469;22.04;1;1;1;1;62.5;0.5;50;100.0;44.39;91.38;40.57
WO-202506-10024;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;İLETKEN TEL ÇEKİM;0.0;21.6;0.838;0.0;0.0;0.641;56.0;HÜSEYİN ÇELİK;OPR-1004;2025;6;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;Elektrolitik Bakır;22;2155;32.32;0;45;0.67;1;1;1;1;21.6;0.8;50;16.38;100.0;97.18;15.92
WO-202506-10025;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;DOLGU KAPLAMA;2.7;35.0;0.476;0.0;0.0;1.797;75.6;OSMAN YILDIZ;OPR-2002;2025;6;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;CU-ETP;Elektrolitik Bakır;41;8148;65.18;3;652;5.22;1;1;1;1;35.0;0.5;120;25.84;59.57;94.04;14.48
WO-202506-10026;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;ÇELİK ZIRH SARMAL;1.1;41.1;0.229;0.0;0.0;1.448;81.3;OSMAN YILDIZ;OPR-2002;2025;6;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;CU-ETP;Elektrolitik Bakır;36;7068;56.54;1;332;2.66;1;1;1;1;41.1;0.2;130;21.11;65.06;93.25;12.81
WO-202506-10027;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;İLETKEN TEL ÇEKİM;2.2;52.2;0.449;0.0;0.0;0.882;131.2;AHMET YILMAZ;OPR-1001;2025;6;Kauçuk;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;CU-ETP;Elektrolitik Bakır;47;6946;55.57;2;404;3.23;1;1;1;1;52.2;0.4;120;15.41;100.0;96.48;14.87
WO-202506-10028;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;4.4;42.6;0.718;0.648;0.0;1.059;66.8;HASAN AYDIN;OPR-2003;2025;6;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;AL-1350;Alüminyum Alaşım;43;4245;106.12;5;555;13.88;1;1;1;1;42.6;0.7;80;24.04;85.39;90.96;18.68
WO-202506-10029;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İLETKEN TEL ÇEKİM;0.9;21.0;0.547;0.0;0.0;2.43;44.5;AHMET YILMAZ;OPR-1001;2025;6;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;CU-ETP;Elektrolitik Bakır;22;6483;97.24;1;417;6.25;1;1;1;1;21.0;0.5;40;35.7;100.0;89.61;31.99
WO-202506-10030;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;İLETKEN TEL ÇEKİM;0.0;11.1;0.69;0.0;0.0;0.326;78.1;ALİ KAYA;OPR-1005;2025;6;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;11;1526;38.15;0;124;3.1;1;1;1;1;11.1;0.7;90;10.8;74.93;91.8;7.43
WO-202506-10031;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;ÇELİK ZIRH SARMAL;0.0;13.4;0.64;0.0;0.0;0.746;44.8;İBRAHİM ÖZTÜRK;OPR-2004;2025;6;Kauçuk;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;CU-ETP;Elektrolitik Bakır;14;2004;30.06;0;96;1.44;1;1;1;1;13.4;0.6;40;18.94;100.0;96.64;18.31
WO-202506-10032;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;ÇELİK ZIRH SARMAL;4.4;39.3;0.544;0.0;0.0;1.61;25.4;MEHMET DEMİR;OPR-1002;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;AL-1350;Alüminyum Alaşım;41;2456;36.84;5;304;4.56;1;1;1;1;39.3;0.5;45;29.15;59.8;84.29;14.69
WO-202506-10033;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;İZOLASYON EKSTRÜZYON;3.4;29.7;0.577;0.0;0.0;1.427;78.9;HASAN AYDIN;OPR-2003;2025;6;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;34;6754;168.85;3;646;16.15;1;1;1;1;29.7;0.6;80;25.44;87.57;93.11;20.74
WO-202506-10034;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;DIŞ KILIF SIVAMA;5.3;45.9;0.741;0.0;0.0;1.553;70.8;SÜLEYMAN KOÇ;OPR-2005;2025;6;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;44;6600;165.0;6;900;22.5;1;1;1;1;45.9;0.7;90;32.77;85.76;89.58;25.17
WO-202506-10035;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DOLGU KAPLAMA;0.0;8.6;1.66;0.0;0.0;0.48;19.2;HÜSEYİN ÇELİK;OPR-1004;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;CU-ETP;Elektrolitik Bakır;10;553;52.54;0;47;4.46;1;1;1;1;8.6;1.7;30;30.81;55.99;88.4;15.25
WO-202506-10036;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;DIŞ KILIF SIVAMA;1.0;13.5;0.529;0.0;0.0;1.855;26.5;OSMAN YILDIZ;OPR-2002;2025;6;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;AL-1350;Alüminyum Alaşım;15;2948;44.22;1;252;3.78;1;1;1;1;13.5;0.5;40;25.48;65.08;90.96;15.08
WO-202506-10037;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;ÇELİK ZIRH SARMAL;2.9;55.2;0.285;0.0;0.0;0.752;120.8;MEHMET DEMİR;OPR-1002;2025;6;PVC;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;CU-ETP;Elektrolitik Bakır;55;5453;43.62;3;347;2.78;1;1;1;1;55.2;0.3;120;14.44;100.0;88.44;12.77
WO-202506-10038;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;03.06.2025;SALI;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DIŞ KILIF SIVAMA;2.1;51.4;0.332;0.0;0.0;2.077;79.6;OSMAN YILDIZ;OPR-2002;2025;6;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;CU-ETP;Elektrolitik Bakır;50;9914;79.31;2;486;3.89;1;1;1;1;51.4;0.3;130;28.24;54.0;98.09;14.96
WO-202506-10039;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;03.06.2025;SALI;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DOLGU KAPLAMA;2.7;33.3;0.385;0.0;0.0;1.287;139.0;İSMAİL ÖZDEMİR;OPR-2001;2025;6;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;AL-1350;Alüminyum Alaşım;36;10732;85.86;3;968;7.74;1;1;1;1;33.3;0.4;130;18.92;93.81;87.62;15.55
WO-202506-10040;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;03.06.2025;SALI;XTR-1001;Mikro Extruder Hattı Alfa;DIŞ KILIF SIVAMA;1.0;47.2;0.458;0.0;0.0;0.586;130.3;İSMAİL ÖZDEMİR;OPR-2001;2025;6;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;CU-ETP;Elektrolitik Bakır;46;4582;36.66;1;118;0.94;1;1;1;1;47.2;0.5;120;11.35;92.73;95.05;10.0
WO-202506-10041;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;03.06.2025;SALI;XTR-2003;Ağır Hizmet Extruder Hattı Eta;ÇELİK ZIRH SARMAL;3.1;35.4;0.868;0.0;0.0;3.93;38.8;SÜLEYMAN KOÇ;OPR-2005;2025;6;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;AL-1350;Alüminyum Alaşım;37;9152;137.28;3;848;12.72;1;1;1;1;35.4;0.9;45;55.17;77.69;90.27;38.69
WO-202506-10042;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;03.06.2025;SALI;XTR-2003;Ağır Hizmet Extruder Hattı Eta;DIŞ KILIF SIVAMA;1.9;40.6;0.876;0.0;0.0;28.511;19.0;ALİ KAYA;OPR-1005;2025;6;LSZH;KBL-702;Fiber Optik MM 24C Data Center;FO-SM-9;Fiber Optik Single Mode;41;32503;487.54;2;1897;28.45;1;1;1;1;40.6;0.9;45;100.0;45.49;96.74;44.0
WO-202506-10043;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;03.06.2025;SALI;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;İLETKEN TEL ÇEKİM;3.1;50.1;1.506;0.0;0.0;4.006;12.0;HÜSEYİN ÇELİK;OPR-1004;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;CU-ETP;Elektrolitik Bakır;49;2884;273.98;3;236;22.42;1;1;1;1;50.1;1.5;30;64.41;44.26;95.66;27.27
WO-202506-10044;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;03.06.2025;SALI;XTR-1001;Mikro Extruder Hattı Alfa;İZOLASYON EKSTRÜZYON;1.8;51.3;0.457;0.0;0.0;1.666;134.4;AHMET YILMAZ;OPR-1001;2025;6;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;CU-ETP;Elektrolitik Bakır;45;13434;107.47;2;666;5.33;1;1;1;1;51.3;0.5;120;25.1;100.0;97.47;24.46
WO-202506-10045;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;03.06.2025;SALI;XTR-1002;Standart Extruder Hattı Beta;DIŞ KILIF SIVAMA;0.0;8.7;0.517;0.0;0.0;0.318;65.3;SÜLEYMAN KOÇ;OPR-2005;2025;6;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;9;1248;31.2;0;102;2.55;1;1;1;1;8.7;0.5;80;8.88;91.15;90.31;7.31
WO-202506-10046;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;03.06.2025;SALI;XTR-2002;Standart Extruder Hattı Zeta;ÇELİK ZIRH SARMAL;3.6;51.4;0.546;0.0;0.0;1.154;74.9;HASAN AYDIN;OPR-2003;2025;6;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;AL-1350;Alüminyum Alaşım;52;5184;129.6;4;416;10.4;1;1;1;1;51.4;0.5;90;18.77;72.73;88.13;12.03
WO-202506-10047;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;03.06.2025;SALI;XTR-2002;Standart Extruder Hattı Zeta;DIŞ KILIF SIVAMA;4.4;35.0;0.662;0.0;0.0;1.123;84.3;MEHMET DEMİR;OPR-1002;2025;6;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;38;5679;141.97;5;771;19.28;1;1;1;1;35.0;0.7;90;22.25;87.94;88.33;17.28
WO-202506-10048;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;03.06.2025;SALI;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DOLGU KAPLAMA;0.9;10.2;0.504;0.0;0.0;0.239;137.7;MEHMET DEMİR;OPR-1002;2025;6;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;AL-1350;Alüminyum Alaşım;10;1976;15.81;1;224;1.79;1;1;1;1;10.2;0.5;130;9.85;100.0;89.39;8.8
WO-202506-10049;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;03.06.2025;SALI;XTR-1001;Mikro Extruder Hattı Alfa;DIŞ KILIF SIVAMA;1.9;50.5;0.501;0.0;0.0;1.895;120.9;MEHMET DEMİR;OPR-1002;2025;6;PE;KBL-801;CAT6 UTP 4P Data İletişim;CU-ETP;Elektrolitik Bakır;46;13744;109.95;2;896;7.17;1;1;1;1;50.5;0.5;120;25.67;100.0;92.99;23.87
