İş Emri No;Operasyon Kodu;Tesis Kodu;Tesis Adı;Üretim Tarihi;Gün Adı;Hat Kodu;Hat Tanımı;Operasyon Tanımı;Fire Miktar (Bobin);Üretim Miktarı (Bobin);Setup Süresi (Saat);Bakım Duruşu (Saat);Arıza Duruşu (Saat);Plansız Duruş (Saat);Operasyon Süresi (Saat);Operasyon Hızı (m/dk);Operatör Adı Soyadı;Operatör Sicil No;Üretim Yılı;Üretim Ayı;İzolasyon Cinsi;Ürün Kodu;Ürün Açıklaması;Üretim Zorluk Derecesi;Malzeme Kodu;Malzeme Açıklaması;Kaliteli Bobin Adedi;Kaliteli Toplam Metraj;Kaliteli Toplam m²;Fire Bobin Adedi;Fire Toplam Metraj;Fire Toplam m²;Günlük İş Emri Sayısı;Parti Sayısı;Hat Başına İş Emri;Hat Günlük İş Emri;Ortalama Çekim Miktarı;Ortalama Setup Süresi (Saat);Hat Nominal Hızı (m/dk);Bakım Açıklaması;Arıza Açıklaması;Kullanım Oranı (%);Performans Oranı (%);Kalite Oranı (%);OEE Değeri (%)
WO-202506-10010;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;İZOLASYON EKSTRÜZYON;1.7;33.4;1.013;0.0;0.0;0.0;1.455;70.7;ALİ KAYA;OPR-1005;2025;6;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;CU-ETP;Elektrolitik Bakır;31;6170;154.25;2;430;10.75;1;1;1;1;33.4;1.0;80;;;29.46;80.57;90.84;21.56
WO-202506-10011;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;DOLGU KAPLAMA;1.8;41.7;0.45;0.0;0.0;0.0;1.916;72.7;OSMAN YILDIZ;OPR-2002;2025;6;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;5;CU-ETP;Elektrolitik Bakır;42;8355;66.84;2;445;3.56;1;1;1;1;41.7;0.4;120;;;28.64;52.96;92.44;14.02
WO-202506-10012;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;DIŞ KILIF SIVAMA;1.0;16.6;0.772;0.0;0.0;0.0;1.896;25.1;OSMAN YILDIZ;OPR-2002;2025;6;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;2;AL-1350;Alüminyum Alaşım;15;2861;42.91;1;339;5.08;1;1;1;1;16.6;0.8;40;;;31.47;63.28;87.92;17.51
WO-202506-10013;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;ÇELİK ZIRH SARMAL;2.0;41.5;0.566;0.0;2.172;0.0;1.575;43.8;SÜLEYMAN KOÇ;OPR-2005;2025;6;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;1;AL-1350;Alüminyum Alaşım;42;4137;62.05;2;263;3.94;1;1;1;1;41.5;0.6;50;;Anlık Arıza (Özel Üretim Extruder Hattı Epsilon - Orta Risk);26.6;82.91;93.59;20.64
WO-202506-10014;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İZOLASYON EKSTRÜZYON;2.1;18.4;0.869;0.0;0.0;0.0;1.001;33.7;MEHMET DEMİR;OPR-1002;2025;6;XLPE;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;5;AL-1350;Alüminyum Alaşım;21;2024;30.36;2;276;4.14;1;1;1;1;18.4;0.9;40;;;20.28;73.7;83.08;12.42
WO-202506-10015;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DOLGU KAPLAMA;2.1;53.4;1.812;0.0;2.629;0.0;2.473;19.1;İBRAHİM ÖZTÜRK;OPR-2004;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;CU-ETP;Elektrolitik Bakır;48;2830;268.85;2;170;16.15;1;1;1;1;53.4;1.8;30;;Anlık Arıza (Süper Ağır Hizmet Extruder Hattı Iota - Çok Yüksek Risk);47.11;65.12;92.0;28.22
WO-202506-10016;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;İZOLASYON EKSTRÜZYON;3.8;45.5;0.385;0.0;0.0;0.0;1.438;95.6;MUSTAFA ŞAHİN;OPR-1003;2025;6;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;2;AL-1350;Alüminyum Alaşım;42;8242;65.94;4;958;7.66;1;1;1;1;45.5;0.4;120;;;25.0;75.9;87.4;16.58
WO-202506-10017;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;ÇELİK ZIRH SARMAL;4.2;39.4;0.878;0.0;0.0;0.0;1.096;56.0;İBRAHİM ÖZTÜRK;OPR-2004;2025;6;PVC;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;2;AL-1350;Alüminyum Alaşım;37;3683;55.24;4;417;6.25;1;1;1;1;39.4;0.9;50;;;21.94;100.0;88.59;19.44
WO-202506-10018;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;DIŞ KILIF SIVAMA;4.5;38.3;0.721;0.0;0.0;0.0;1.591;69.6;SÜLEYMAN KOÇ;OPR-2005;2025;6;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;AL-1350;Alüminyum Alaşım;45;6642;166.05;5;858;21.45;1;1;1;1;38.3;0.7;90;;;24.64;67.66;87.33;14.56
WO-202506-10019;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;DIŞ KILIF SIVAMA;2.0;56.5;0.982;0.0;0.0;0.0;28.046;26.3;ALİ KAYA;OPR-1005;2025;6;LSZH;KBL-702;Fiber Optik MM 24C Data Center;9;FO-SM-9;Fiber Optik Single Mode;56;44247;663.7;2;2153;32.3;1;1;1;1;56.5;1.0;50;;;100.0;45.82;89.14;40.85
WO-202506-10020;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İLETKEN TEL ÇEKİM;0.9;22.2;0.552;0.0;0.0;0.0;2.424;44.8;AHMET YILMAZ;OPR-1001;2025;6;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;1;CU-ETP;Elektrolitik Bakır;22;6517;97.75;1;383;5.75;1;1;1;1;22.2;0.6;40;;;37.76;100.0;93.5;35.31
WO-202506-10021;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;ÇELİK ZIRH SARMAL;1.1;46.9;1.078;0.0;0.0;0.0;1.614;42.7;HASAN AYDIN;OPR-2003;2025;6;XLPE;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;5;CU-ETP;Elektrolitik Bakır;42;4138;62.07;1;162;2.43;1;1;1;1;46.9;1.1;50;;;31.53;88.17;96.06;26.71
WO-202506-10022;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;İLETKEN TEL ÇEKİM;0.9;21.7;0.833;2.182;0.0;0.0;0.635;54.2;HÜSEYİN ÇELİK;OPR-1004;2025;6;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;1;CU-ETP;Elektrolitik Bakır;21;2067;31.0;1;133;1.99;1;1;1;1;21.7;0.8;50;Planlı Bakım (Pazartesi Sabah Periyodu);;24.76;100.0;91.5;22.66
WO-202506-10023;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DIŞ KILIF SIVAMA;0.9;21.6;0.378;2.785;0.0;0.0;1.298;89.0;OSMAN YILDIZ;OPR-2002;2025;6;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;1;AL-1350;Alüminyum Alaşım;24;6934;55.47;1;566;4.53;1;1;1;1;21.6;0.4;130;Planlı Bakım (Pazartesi Sabah Periyodu);;32.08;58.99;91.82;17.38
WO-202506-10024;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;İLETKEN TEL ÇEKİM;0.9;14.6;1.099;2.305;2.368;0.0;0.551;38.5;İSMAİL ÖZDEMİR;OPR-2001;2025;6;XLPE;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;5;CU-ETP;Elektrolitik Bakır;13;1272;19.08;1;128;1.92;1;1;1;1;14.6;1.1;45;Planlı Bakım (Pazartesi Sabah Periyodu);Anlık Arıza (Ağır Hizmet Extruder Hattı Eta - Yüksek Risk);25.51;83.24;85.86;18.23
WO-202506-10025;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;İLETKEN TEL ÇEKİM;3.1;43.6;0.793;0.0;0.0;0.0;2.621;36.9;HASAN AYDIN;OPR-2003;2025;6;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;CU-ETP;Elektrolitik Bakır;39;5806;87.09;3;494;7.41;1;1;1;1;43.6;0.8;45;;;46.63;85.63;92.46;36.92
WO-202506-10026;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DOLGU KAPLAMA;0.0;9.3;1.735;2.045;0.0;0.0;0.753;12.1;HÜSEYİN ÇELİK;OPR-1004;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;CU-ETP;Elektrolitik Bakır;10;546;51.87;0;54;5.13;1;1;1;1;9.3;1.7;30;Planlı Bakım (Pazartesi Sabah Periyodu);;38.36;42.57;87.12;14.23
WO-202506-10027;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;ÇELİK ZIRH SARMAL;3.2;40.7;0.958;0.0;0.0;0.0;1.6;26.4;MEHMET DEMİR;OPR-1002;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;AL-1350;Alüminyum Alaşım;43;2533;37.99;3;227;3.4;1;1;1;1;40.7;1.0;45;;;29.83;50.76;87.7;13.28
WO-202506-10028;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;4.9;43.3;1.124;0.0;2.426;0.0;1.042;68.0;HASAN AYDIN;OPR-2003;2025;6;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;AL-1350;Alüminyum Alaşım;43;4252;106.3;5;548;13.7;1;1;1;1;43.3;1.1;80;;Anlık Arıza (Standart Extruder Hattı Beta - Orta Risk);26.81;88.65;85.86;20.4
WO-202506-10029;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;İZOLASYON EKSTRÜZYON;2.2;37.4;0.94;2.987;0.0;0.0;1.567;72.6;HASAN AYDIN;OPR-2003;2025;6;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;AL-1350;Alüminyum Alaşım;35;6820;170.5;2;580;14.5;1;1;1;1;37.4;0.9;80;Planlı Bakım (Pazartesi Sabah Periyodu);;42.57;95.57;91.48;37.21
WO-202506-10030;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;İZOLASYON EKSTRÜZYON;1.1;14.5;0.818;2.161;0.0;0.0;0.389;66.0;SÜLEYMAN KOÇ;OPR-2005;2025;6;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;AL-1350;Alüminyum Alaşım;16;1541;38.53;1;159;3.98;1;1;1;1;14.5;0.8;90;Planlı Bakım (Pazartesi Sabah Periyodu);;20.85;78.29;89.57;14.62
WO-202506-10031;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DIŞ KILIF SIVAMA;1.7;22.2;2.007;0.0;0.0;0.0;1.004;19.6;İBRAHİM ÖZTÜRK;OPR-2004;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;AL-1350;Alüminyum Alaşım;20;1180;112.1;2;140;13.3;1;1;1;1;22.2;2.0;30;;;34.14;62.46;88.08;18.78
WO-202506-10032;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;ÇELİK ZIRH SARMAL;1.9;59.4;0.424;0.0;0.0;0.0;0.755;121.8;MEHMET DEMİR;OPR-1002;2025;6;PVC;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;2;CU-ETP;Elektrolitik Bakır;56;5520;44.16;2;280;2.24;1;1;1;1;59.4;0.4;120;;;16.01;94.48;93.71;14.18
WO-202506-10033;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;ÇELİK ZIRH SARMAL;2.6;34.0;0.816;0.0;0.0;0.0;1.396;80.9;OSMAN YILDIZ;OPR-2002;2025;6;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;5;CU-ETP;Elektrolitik Bakır;34;6772;54.18;3;628;5.02;1;1;1;1;34.0;0.8;130;;;25.47;53.44;89.7;12.21
WO-202506-10034;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;DIŞ KILIF SIVAMA;0.9;27.0;0.616;0.0;0.0;0.0;0.784;129.9;AHMET YILMAZ;OPR-1001;2025;6;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;2;AL-1350;Alüminyum Alaşım;25;6106;48.85;1;394;3.15;1;1;1;1;27.0;0.6;120;;;19.19;98.53;93.36;17.65
WO-202506-10035;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;ÇELİK ZIRH SARMAL;1.0;11.2;0.741;2.634;0.0;0.0;0.772;41.9;İBRAHİM ÖZTÜRK;OPR-2004;2025;6;Kauçuk;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;3;CU-ETP;Elektrolitik Bakır;13;1943;29.14;1;157;2.35;1;1;1;1;11.2;0.7;40;Planlı Bakım (Pazartesi Sabah Periyodu);;29.85;97.55;88.92;25.89
WO-202506-10036;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;İLETKEN TEL ÇEKİM;2.7;48.6;0.672;0.0;0.0;0.0;1.399;75.7;MEHMET DEMİR;OPR-1002;2025;6;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;CU-ETP;Elektrolitik Bakır;43;6355;158.88;3;545;13.62;1;1;1;1;48.6;0.7;80;;;23.13;96.78;89.34;20.0
WO-202506-10037;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;ÇELİK ZIRH SARMAL;1.1;23.4;0.681;0.0;0.0;0.0;1.245;61.9;SÜLEYMAN KOÇ;OPR-2005;2025;6;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;AL-1350;Alüminyum Alaşım;24;4623;115.58;1;377;9.43;1;1;1;1;23.4;0.7;80;;;23.52;83.29;89.23;17.48
WO-202506-10038;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;03.06.2025;SALI;XTR-2002;Standart Extruder Hattı Zeta;DOLGU KAPLAMA;6.4;46.5;0.964;0.0;0.0;0.0;1.393;83.7;MEHMET DEMİR;OPR-1002;2025;6;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;AL-1350;Alüminyum Alaşım;47;6996;174.9;6;954;23.85;1;1;1;1;46.5;1.0;90;;;28.62;93.4;85.23;22.78
WO-202506-10039;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;03.06.2025;SALI;XTR-2002;Standart Extruder Hattı Zeta;İLETKEN TEL ÇEKİM;2.8;30.6;1.111;0.0;0.0;0.0;0.595;83.7;MEHMET DEMİR;OPR-1002;2025;6;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;CU-ETP;Elektrolitik Bakır;30;2988;74.7;3;312;7.8;1;1;1;1;30.6;1.1;90;;;21.69;100.0;88.13;19.11
WO-202506-10040;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;03.06.2025;SALI;XTR-2003;Ağır Hizmet Extruder Hattı Eta;İZOLASYON EKSTRÜZYON;0.9;21.2;0.745;0.0;0.0;0.0;2.07;33.3;MUSTAFA ŞAHİN;OPR-1003;2025;6;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;CU-ETP;Elektrolitik Bakır;21;4139;62.09;1;261;3.92;1;1;1;1;21.2;0.7;45;;;34.59;64.93;91.92;20.64
WO-202506-10041;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;03.06.2025;SALI;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;İLETKEN TEL ÇEKİM;2.1;41.1;0.573;0.0;0.0;0.0;1.373;96.6;MUSTAFA ŞAHİN;OPR-1003;2025;6;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;5;CU-ETP;Elektrolitik Bakır;40;7957;63.66;2;443;3.54;1;1;1;1;41.1;0.6;130;;;22.66;65.39;94.5;14.0
WO-202506-10042;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;03.06.2025;SALI;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DIŞ KILIF SIVAMA;3.8;44.9;0.631;0.0;0.0;0.0;2.0;79.9;OSMAN YILDIZ;OPR-2002;2025;6;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;5;CU-ETP;Elektrolitik Bakır;48;9594;76.75;4;806;6.45;1;1;1;1;44.9;0.6;130;;;34.08;58.9;87.76;17.62
WO-202506-10043;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;03.06.2025;SALI;XTR-2001;Özel Üretim Extruder Hattı Epsilon;ÇELİK ZIRH SARMAL;1.8;49.9;1.11;0.0;0.0;0.0;32.398;27.4;ALİ KAYA;OPR-1005;2025;6;LSZH;KBL-701;Fiber Optik SM 12C Dış Tesisat;8;FO-SM-9;Fiber Optik Single Mode;54;53274;799.11;2;2726;40.89;1;1;1;1;49.9;1.1;50;;;100.0;47.99;89.8;43.09
WO-202506-10044;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;03.06.2025;SALI;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DOLGU KAPLAMA;1.9;32.7;0.32;0.0;0.0;0.0;1.338;137.4;İSMAİL ÖZDEMİR;OPR-2001;2025;6;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;1;AL-1350;Alüminyum Alaşım;37;11031;88.25;2;669;5.35;1;1;1;1;32.7;0.3;130;;;20.34;100.0;95.77;19.48
WO-202506-10045;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;03.06.2025;SALI;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DOLGU KAPLAMA;1.0;9.4;0.332;0.0;0.0;0.0;0.249;133.5;MEHMET DEMİR;OPR-1002;2025;6;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;2;AL-1350;Alüminyum Alaşım;10;1993;15.94;1;207;1.66;1;1;1;1;9.4;0.3;130;;;6.62;90.22;89.68;5.35
WO-202506-10046;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;03.06.2025;SALI;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;DOLGU KAPLAMA;6.8;54.3;1.069;0.0;0.0;0.0;4.735;18.6;OSMAN YILDIZ;OPR-2002;2025;6;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;AL-1350;Alüminyum Alaşım;53;5280;79.2;7;720;10.8;1;1;1;1;54.3;1.1;40;;;67.93;41.6;87.48;24.72
