İş Emri No;Operasyon Kodu;Tesis Kodu;Tesis Adı;Üretim Tarihi;Gün Adı;Hat Kodu;Hat Tanımı;Operasyon Tanımı;Fire Miktar (Bobin);Üretim Miktarı (Bobin);Setup Süresi (Saat);Bakım Duruşu (Saat);Arıza Duruşu (Saat);Plansız Duruş (Saat);Operasyon Süresi (Saat);Operasyon Hızı (m/dk);Operatör Adı Soyadı;Operatör Sicil No;Üretim Yılı;Üretim Ayı;İzolasyon Cinsi;Ürün Kodu;Ürün Açıklaması;Üretim Zorluk Derecesi;Malzeme Kodu;Malzeme Açıklaması;Kaliteli Bobin Adedi;Kaliteli Toplam Metraj;Kaliteli Toplam m²;Fire Bobin Adedi;Fire Toplam Metraj;Fire Toplam m²;Günlük İş Emri Sayısı;Parti Sayısı;Hat Başına İş Emri;Hat Günlük İş Emri;Ortalama Çekim Miktarı;Ortalama Setup Süresi (Saat);Hat Nominal Hızı (m/dk);Bakım Açıklaması;Arıza Açıklaması;Kullanım Oranı (%);Performans Oranı (%);Kalite Oranı (%);OEE Değeri (%)
WO-202506-10012;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DIŞ KILIF SIVAMA;0.9;23.8;1.855;2.861;2.021;0.0;1.068;18.8;İBRAHİM ÖZTÜRK;OPR-2004;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;AL-1350;Alüminyum Alaşım;21;1205;114.47;1;115;10.93;1;1;1;1;23.8;1.9;30;Planlı Bakım (Pazartesi Sabah Periyodu);Anlık Arıza (Süper Ağır Hizmet Extruder Hattı Iota - Çok Yüksek Risk);84.38;55.31;85.34;39.83
WO-202506-10013;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;ÇELİK ZIRH SARMAL;3.1;39.3;0.825;2.098;0.0;0.0;1.104;56.0;İBRAHİM ÖZTÜRK;OPR-2004;2025;6;PVC;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;2;AL-1350;Alüminyum Alaşım;38;3710;55.65;3;390;5.85;1;1;1;1;39.3;0.8;50;Planlı Bakım (Pazartesi Sabah Periyodu);;28.85;100.0;87.64;25.28
WO-202506-10014;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;ÇELİK ZIRH SARMAL;1.0;44.4;1.078;2.009;0.0;0.0;1.708;40.3;HASAN AYDIN;OPR-2003;2025;6;XLPE;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;5;CU-ETP;Elektrolitik Bakır;42;4126;61.89;1;174;2.61;1;1;1;1;44.4;1.1;50;Planlı Bakım (Pazartesi Sabah Periyodu);;38.22;71.95;92.96;25.56
WO-202506-10015;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;DIŞ KILIF SIVAMA;3.4;26.6;1.037;2.376;2.157;0.286;1.18;65.3;ALİ KAYA;OPR-1005;2025;6;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;AL-1350;Alüminyum Alaşım;31;4620;115.5;4;630;15.75;1;1;1;1;26.6;1.0;80;Planlı Bakım (Pazartesi Sabah Periyodu);Anlık Arıza (Standart Extruder Hattı Beta - Orta Risk);70.75;75.66;85.92;45.99
WO-202506-10016;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;İZOLASYON EKSTRÜZYON;3.5;41.9;0.451;2.329;0.0;0.0;1.442;96.3;MUSTAFA ŞAHİN;OPR-1003;2025;6;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;2;AL-1350;Alüminyum Alaşım;42;8337;66.7;4;863;6.9;1;1;1;1;41.9;0.5;120;Planlı Bakım (Pazartesi Sabah Periyodu);;36.89;85.36;85.0;26.77
WO-202506-10017;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;İZOLASYON EKSTRÜZYON;1.8;14.2;1.041;2.804;0.0;0.0;0.355;70.2;SÜLEYMAN KOÇ;OPR-2005;2025;6;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;AL-1350;Alüminyum Alaşım;15;1496;37.4;2;204;5.1;1;1;1;1;14.2;1.0;90;Planlı Bakım (Pazartesi Sabah Periyodu);;27.25;83.27;87.61;19.88
WO-202506-10018;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;İLETKEN TEL ÇEKİM;2.6;39.7;0.71;2.877;0.0;0.0;1.356;79.3;MEHMET DEMİR;OPR-1002;2025;6;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;CU-ETP;Elektrolitik Bakır;43;6448;161.2;3;452;11.3;1;1;1;1;39.7;0.7;80;Planlı Bakım (Pazartesi Sabah Periyodu);;44.94;99.08;90.78;40.42
WO-202506-10019;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İZOLASYON EKSTRÜZYON;2.2;18.5;0.864;2.341;0.0;0.0;1.077;32.1;MEHMET DEMİR;OPR-1002;2025;6;XLPE;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;5;AL-1350;Alüminyum Alaşım;21;2073;31.09;2;227;3.4;1;1;1;1;18.5;0.9;40;Planlı Bakım (Pazartesi Sabah Periyodu);;33.41;84.45;89.02;25.12
WO-202506-10020;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;İZOLASYON EKSTRÜZYON;2.3;16.3;1.078;2.516;0.0;0.0;0.498;61.9;SÜLEYMAN KOÇ;OPR-2005;2025;6;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;AL-1350;Alüminyum Alaşım;19;1852;46.3;2;248;6.2;1;1;1;1;16.3;1.1;80;Planlı Bakım (Pazartesi Sabah Periyodu);;26.38;74.97;80.58;15.93
WO-202506-10021;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2004;Kombine Extruder Hattı Theta;İLETKEN TEL ÇEKİM;0.0;11.5;0.805;2.81;0.0;0.0;0.378;116.1;MEHMET DEMİR;OPR-1002;2025;6;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;2;CU-ETP;Elektrolitik Bakır;11;2634;52.68;0;116;2.32;1;1;1;1;11.5;0.8;110;Planlı Bakım (Pazartesi Sabah Periyodu);;22.9;100.0;96.66;22.14
WO-202506-10022;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;DIŞ KILIF SIVAMA;0.9;22.6;0.544;2.632;0.0;0.0;0.779;131.0;AHMET YILMAZ;OPR-1001;2025;6;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;2;AL-1350;Alüminyum Alaşım;25;6122;48.98;1;378;3.02;1;1;1;1;22.6;0.5;120;Planlı Bakım (Pazartesi Sabah Periyodu);;21.01;100.0;90.54;19.03
WO-202506-10023;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;DIŞ KILIF SIVAMA;3.4;51.4;1.21;2.173;0.0;0.0;28.779;25.4;ALİ KAYA;OPR-1005;2025;6;LSZH;KBL-702;Fiber Optik MM 24C Data Center;9;FO-SM-9;Fiber Optik Single Mode;55;43916;658.74;3;2484;37.26;1;1;1;1;51.4;1.2;50;Planlı Bakım (Pazartesi Sabah Periyodu);;100.0;53.05;90.72;48.13
WO-202506-10024;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;İLETKEN TEL ÇEKİM;0.9;21.7;0.833;2.182;0.0;0.0;0.635;54.2;HÜSEYİN ÇELİK;OPR-1004;2025;6;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;1;CU-ETP;Elektrolitik Bakır;21;2067;31.0;1;133;1.99;1;1;1;1;21.7;0.8;50;Planlı Bakım (Pazartesi Sabah Periyodu);;25.46;100.0;90.52;23.05
WO-202506-10025;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;DOLGU KAPLAMA;2.7;46.0;0.661;2.643;0.0;0.0;1.801;74.6;OSMAN YILDIZ;OPR-2002;2025;6;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;5;CU-ETP;Elektrolitik Bakır;41;8065;64.52;3;735;5.88;1;1;1;1;46.0;0.7;120;Planlı Bakım (Pazartesi Sabah Periyodu);;53.28;59.34;92.45;29.23
WO-202506-10026;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;ÇELİK ZIRH SARMAL;2.2;36.8;0.452;2.908;0.0;0.0;1.422;81.0;OSMAN YILDIZ;OPR-2002;2025;6;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;5;CU-ETP;Elektrolitik Bakır;35;6911;55.29;2;489;3.91;1;1;1;1;36.8;0.5;130;Planlı Bakım (Pazartesi Sabah Periyodu);;36.66;69.55;87.55;22.32
WO-202506-10027;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;İLETKEN TEL ÇEKİM;2.0;47.4;0.447;2.522;0.0;0.0;0.915;125.9;AHMET YILMAZ;OPR-1001;2025;6;Kauçuk;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;3;CU-ETP;Elektrolitik Bakır;47;6918;55.34;2;432;3.46;1;1;1;1;47.4;0.4;120;Planlı Bakım (Pazartesi Sabah Periyodu);;25.98;91.63;87.45;20.82
WO-202506-10028;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;5.2;37.0;1.073;2.771;0.0;0.0;1.025;68.8;HASAN AYDIN;OPR-2003;2025;6;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;AL-1350;Alüminyum Alaşım;43;4230;105.75;5;570;14.25;1;1;1;1;37.0;1.1;80;Planlı Bakım (Pazartesi Sabah Periyodu);;39.08;73.65;80.78;23.25
WO-202506-10029;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;İLETKEN TEL ÇEKİM;0.9;22.9;0.866;2.339;0.0;0.0;2.391;44.3;AHMET YILMAZ;OPR-1001;2025;6;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;1;CU-ETP;Elektrolitik Bakır;22;6363;95.44;1;537;8.05;1;1;1;1;22.9;0.9;40;Planlı Bakım (Pazartesi Sabah Periyodu);;65.77;100.0;93.37;61.41
WO-202506-10030;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;İLETKEN TEL ÇEKİM;0.9;8.6;0.903;2.42;0.0;0.0;0.315;76.8;ALİ KAYA;OPR-1005;2025;6;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;AL-1350;Alüminyum Alaşım;10;1452;36.3;1;198;4.95;1;1;1;1;8.6;0.9;90;Planlı Bakım (Pazartesi Sabah Periyodu);;23.85;72.91;81.74;14.21
WO-202506-10031;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;ÇELİK ZIRH SARMAL;0.0;15.8;0.865;2.512;0.0;0.0;0.91;35.8;İBRAHİM ÖZTÜRK;OPR-2004;2025;6;Kauçuk;KBL-902;H07RN-F 3G2.5 mm² Kauçuk Seyyar;3;CU-ETP;Elektrolitik Bakır;14;1954;29.31;0;146;2.19;1;1;1;1;15.8;0.9;40;Planlı Bakım (Pazartesi Sabah Periyodu);;28.55;92.75;89.55;23.71
WO-202506-10032;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;ÇELİK ZIRH SARMAL;4.4;40.7;1.064;2.064;0.0;0.0;1.434;28.2;MEHMET DEMİR;OPR-1002;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;AL-1350;Alüminyum Alaşım;41;2429;36.43;5;331;4.96;1;1;1;1;40.7;1.1;45;Planlı Bakım (Pazartesi Sabah Periyodu);;45.56;64.14;87.03;25.43
WO-202506-10033;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;İZOLASYON EKSTRÜZYON;1.8;33.5;1.014;2.199;2.631;0.0;1.456;78.4;HASAN AYDIN;OPR-2003;2025;6;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;AL-1350;Alüminyum Alaşım;35;6849;171.23;2;551;13.78;1;1;1;1;33.5;1.0;80;Planlı Bakım (Pazartesi Sabah Periyodu);Anlık Arıza (Standart Extruder Hattı Beta - Orta Risk);84.31;100.0;86.18;72.66
WO-202506-10034;OP-330;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;DIŞ KILIF SIVAMA;3.8;40.4;0.972;2.325;0.0;0.0;1.624;70.1;SÜLEYMAN KOÇ;OPR-2005;2025;6;XLPE;KBL-202;NYY 4x16 mm² Yeraltı Enerji;4;AL-1350;Alüminyum Alaşım;46;6830;170.75;4;670;16.75;1;1;1;1;40.4;1.0;90;Planlı Bakım (Pazartesi Sabah Periyodu);;51.5;80.04;88.77;36.59
WO-202506-10035;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DOLGU KAPLAMA;0.0;8.9;1.718;2.389;0.0;0.0;0.704;13.3;HÜSEYİN ÇELİK;OPR-1004;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;CU-ETP;Elektrolitik Bakır;10;563;53.48;0;37;3.52;1;1;1;1;8.9;1.7;30;Planlı Bakım (Pazartesi Sabah Periyodu);;40.94;41.12;89.78;15.11
WO-202506-10036;OP-330;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1003;Ağır Hizmet Extruder Hattı Gamma;DIŞ KILIF SIVAMA;0.9;16.4;0.653;2.094;0.0;0.0;2.241;21.8;OSMAN YILDIZ;OPR-2002;2025;6;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;2;AL-1350;Alüminyum Alaşım;15;2931;43.96;1;269;4.04;1;1;1;1;16.4;0.7;40;Planlı Bakım (Pazartesi Sabah Periyodu);;45.8;58.76;85.3;22.96
WO-202506-10037;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;ÇELİK ZIRH SARMAL;2.1;48.2;0.539;2.972;0.0;0.0;0.748;123.0;MEHMET DEMİR;OPR-1002;2025;6;PVC;KBL-102;NYA 3x2.5 mm² Bina İçi Tesisat;2;CU-ETP;Elektrolitik Bakır;56;5518;44.14;2;282;2.26;1;1;1;1;48.2;0.5;120;Planlı Bakım (Pazartesi Sabah Periyodu);;25.56;95.47;91.13;22.23
WO-202506-10038;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;03.06.2025;SALI;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DIŞ KILIF SIVAMA;3.7;49.0;0.777;0.0;0.0;0.0;1.888;84.0;OSMAN YILDIZ;OPR-2002;2025;6;LSZH;KBL-802;CAT7 SFTP 4P Yüksek Performans;5;CU-ETP;Elektrolitik Bakır;48;9519;76.15;4;881;7.05;1;1;1;1;49.0;0.8;130;;;35.34;71.16;88.63;22.29
WO-202506-10039;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;03.06.2025;SALI;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DOLGU KAPLAMA;2.2;35.0;0.399;0.0;0.0;0.0;1.311;140.5;İSMAİL ÖZDEMİR;OPR-2001;2025;6;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;1;AL-1350;Alüminyum Alaşım;37;11054;88.43;2;646;5.17;1;1;1;1;35.0;0.4;130;;;18.56;93.74;97.66;16.99
WO-202506-10040;OP-340;KABLO-IST;İstanbul Kablo Üretim Tesisi;03.06.2025;SALI;XTR-1001;Mikro Extruder Hattı Alfa;DIŞ KILIF SIVAMA;1.0;41.9;0.223;0.0;0.0;0.0;0.599;126.3;İSMAİL ÖZDEMİR;OPR-2001;2025;6;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;1;CU-ETP;Elektrolitik Bakır;46;4542;36.34;1;158;1.26;1;1;1;1;41.9;0.2;120;;;8.75;92.92;94.79;7.71
WO-202506-10041;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;03.06.2025;SALI;XTR-2003;Ağır Hizmet Extruder Hattı Eta;ÇELİK ZIRH SARMAL;3.3;41.9;0.61;0.0;0.0;0.0;3.933;38.6;SÜLEYMAN KOÇ;OPR-2005;2025;6;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;2;AL-1350;Alüminyum Alaşım;37;9116;136.74;3;884;13.26;1;1;1;1;41.9;0.6;45;;;66.95;85.83;91.7;52.69
WO-202506-10042;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;03.06.2025;SALI;XTR-2003;Ağır Hizmet Extruder Hattı Eta;DIŞ KILIF SIVAMA;1.9;42.1;1.233;0.0;0.0;0.0;24.142;22.3;ALİ KAYA;OPR-1005;2025;6;LSZH;KBL-702;Fiber Optik MM 24C Data Center;9;FO-SM-9;Fiber Optik Single Mode;41;32287;484.31;2;2113;31.7;1;1;1;1;42.1;1.2;45;;;100.0;42.3;87.02;36.8
WO-202506-10043;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;03.06.2025;SALI;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;İLETKEN TEL ÇEKİM;3.5;53.9;2.094;0.0;0.0;0.0;2.71;17.4;HÜSEYİN ÇELİK;OPR-1004;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;CU-ETP;Elektrolitik Bakır;48;2834;269.23;4;286;27.17;1;1;1;1;53.9;2.1;30;;;66.04;58.15;85.71;32.92
